City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Dhidhdhoo,MV,84.22,broken clouds,6.88,73.1,Dhidhoo beach
351,Seminole,US,75.99,overcast clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
353,Bolobo,CD,85.01,light rain,-2.17,16.23,
356,Grand Gaube,MU,77.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
360,Santa Lucia,ES,75.0,scattered clouds,27.91,-15.54,Hotel Viverde Las Tirajanas
362,Bosobolo,CD,87.1,light rain,4.18,19.9,
363,Effium,NG,89.6,scattered clouds,6.63,8.06,
365,Cururupu,BR,82.4,broken clouds,-1.83,-44.87,Pousada Través'cia
366,Kirakira,SB,80.55,scattered clouds,-10.45,161.92,SanBiz Lodge
368,Portobelo,PA,77.0,scattered clouds,9.55,-79.65,Scuba Portobelo
369,Coruripe,BR,80.51,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
377,Nova Olimpia,BR,79.2,light rain,-14.8,-57.29,Motel glamour
385,Mata De Sao Joao,BR,82.4,few clouds,-12.53,-38.3,Sítio Sapiranga
391,Cabadiangan,PH,77.88,scattered clouds,9.75,122.47,Kipot
394,Tessalit,ML,87.64,clear sky,20.2,1.01,
396,Gwadar,PK,80.24,clear sky,25.12,62.33,Sadaf Resort
397,Riyadh,SA,87.8,clear sky,24.69,46.72,InterContinental Riyadh
398,Port Blair,IN,81.68,light rain,11.67,92.75,Fortune Resort Bay Island
402,Mwanza,TZ,77.0,scattered clouds,-2.52,32.9,Gold Crest Hotel
420,Gigmoto,PH,80.91,overcast clouds,13.78,124.39,Cj's Travellers Inn
425,Touros,BR,78.8,shower rain,-5.2,-35.46,INN NEW HORIZON
427,Dumai,ID,76.1,overcast clouds,1.68,101.45,Grand Zuri Dumai
428,Mumford,GH,84.0,broken clouds,5.26,-0.76,Spanish Villa
429,Laela,TZ,89.69,scattered clouds,-8.57,32.05,
433,Euclides Da Cunha,BR,75.96,broken clouds,-10.51,-39.02,Hotel e Posto Bastos
434,Brasilia,BR,75.2,scattered clouds,-15.78,-47.93,Grand Mercure Brasilia Eixo Monumental
435,Nauta,PE,75.51,overcast clouds,-4.51,-73.58,Amazon Exploring Expedition - Eretzen Tá Lodge
437,Modasa,IN,82.45,clear sky,23.47,73.3,HOTEL SUN SHINE
438,Pochutla,MX,75.0,clear sky,15.74,-96.47,Hotel Posada San Jose
442,Bin Qirdan,TN,75.6,clear sky,33.14,11.22,hotel rayes
444,Mananjary,MG,79.54,clear sky,-21.22,48.33,Vahiny Lodge
445,Beira,MZ,89.01,few clouds,-19.84,34.84,Beira Terrace Hotel
449,Dalaba,GN,80.13,clear sky,10.7,-12.25,Hôtel Tangama
450,Bintulu,MY,77.0,moderate rain,3.17,113.03,900 Boutique INN
451,Luganville,VU,78.71,light rain,-15.53,167.17,The Espiritu Hotel
458,Wajir,KE,86.29,broken clouds,1.75,40.06,Al- Amin lodge
459,Atambua,ID,78.26,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
462,Toamasina,MG,78.8,light rain,-18.17,49.38,Hotel H1
463,Nisia Floresta,BR,78.8,shower rain,-6.09,-35.21,Rancho Crepusculo
467,Loandjili,CG,78.8,broken clouds,-4.76,11.86,Résidence ARCHANGE
468,Maumere,ID,82.62,overcast clouds,-8.62,122.21,Sylvia Hotel
471,Ambon,ID,80.6,light rain,-3.7,128.18,Swiss-Belhotel Ambon
477,Samarai,PG,79.66,moderate rain,-10.62,150.67,Nuli Sapi
480,Omboue,GA,76.23,overcast clouds,-1.57,9.26,Hotel Olako
483,Mamou,GN,86.47,clear sky,10.5,-12.0,
484,Inhambane,MZ,89.6,clear sky,-23.86,35.38,Oceano
487,Doume,CM,88.88,scattered clouds,4.23,13.45,Hotel Universel
491,Mayumba,GA,76.21,overcast clouds,-3.43,10.66,LIKWALE LODGE
497,Ouesso,CG,81.07,moderate rain,1.61,16.05,Hôtel ABENI
500,Augusto Correa,BR,86.16,scattered clouds,-1.02,-46.63,Fazenda Bacuri
502,Waingapu,ID,83.52,overcast clouds,-9.66,120.26,Pondok Wisata Elim
504,Venezuela,VE,79.16,overcast clouds,8.0,-66.0,
506,Kirkuk,IQ,80.92,overcast clouds,35.47,44.39,فندق التأميم
515,Kampot,KH,82.4,scattered clouds,10.62,104.18,Champa Lodge
517,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
518,Arona,ES,75.2,few clouds,28.1,-16.68,Paradise Court
520,Caravelas,BR,81.86,broken clouds,-17.71,-39.25,Pousada dos Navegantes
522,Bodden Town,KY,80.6,shower rain,19.28,-81.25,Will T Place
526,Santa Rosa,PH,84.2,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
527,Mae Sai,TH,78.01,clear sky,20.43,99.88,Piyaporn Hill Paradise Hotel
531,Saint-Leu,RE,80.6,few clouds,-21.15,55.28,La Caz Oceane
532,Lorengau,PG,81.34,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
533,Balikpapan,ID,86.0,few clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
534,San Cristobal,VE,75.2,fog,7.77,-72.22,Pirineos
535,Manggar,ID,81.97,overcast clouds,-2.88,108.27,Guest Hotel
537,Honiara,SB,78.8,few clouds,-9.43,159.95,Heritage Park Hotel
542,Hambantota,LK,80.6,thunderstorm,6.12,81.12,Bungalow 63
543,Tonantins,BR,75.81,heavy intensity rain,-2.87,-67.8,Hotel Rei Davi
544,Tiarei,PF,77.0,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
545,Bull Savanna,JM,75.36,few clouds,17.89,-77.59,Big Red's
547,Dingle,PH,76.64,light rain,11.0,122.67,SEGAYA PROPERTY
548,Yarada,IN,82.4,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
550,Anito,PH,79.75,heavy intensity rain,12.45,125.29,The Yellow House
555,Santa Helena De Goias,BR,84.45,broken clouds,-17.81,-50.6,Hotel Pacheco
560,Makakilo City,US,77.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
562,Plaridel,PH,84.2,scattered clouds,14.89,120.86,St. Agatha Resort
563,Jimma,ET,75.49,light rain,7.67,36.83,Jimma Central Hotel
564,Conceicao Do Araguaia,BR,86.59,scattered clouds,-8.26,-49.26,Tarumã Tropical Hotel
565,Moerai,PF,75.18,overcast clouds,-22.43,-151.33,Le Manotel
566,Mount Isa,AU,82.4,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
567,Tabas,IR,75.2,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
569,Broken Hill,AU,84.2,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
574,Adre,TD,89.31,clear sky,13.47,22.2,
575,Rajshahi,BD,80.78,clear sky,24.37,88.6,Anjum Hotel International
582,Trinidad,BO,77.0,smoke,-14.83,-64.9,Hotel Piesta
587,Maceio,BR,77.0,mist,-9.67,-35.74,Mercure Maceio Pajucara Hotel
589,Ca Mau,VN,77.5,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
598,Ahuimanu,US,78.8,overcast clouds,21.44,-157.84,Paradise Bay Resort
