City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Castro,BR,-24.79,-50.01,62.28,89,92,7.36,light rain
159,Praia,CV,14.92,-23.51,84.2,62,20,24.16,few clouds
160,Buala,SB,-8.14,159.59,81.18,72,28,3.85,scattered clouds
161,Okato,NZ,-39.2,173.88,46.0,88,100,21.99,light rain
162,Vao,NC,-22.67,167.48,70.99,64,3,12.5,clear sky
163,Khandyga,RU,62.67,135.6,-17.23,87,0,2.55,clear sky
164,Russkiy Kameshkir,RU,52.86,46.09,36.18,82,0,8.39,clear sky
165,Dunedin,NZ,-45.87,170.5,52.0,73,84,0.74,broken clouds
166,Kaitangata,NZ,-46.28,169.85,52.0,73,23,0.67,few clouds
167,Craig,US,40.52,-107.55,28.4,85,1,4.03,clear sky
168,Paamiut,GL,61.99,-49.67,20.98,89,100,33.76,overcast clouds
169,Pampas,PE,-12.4,-74.9,50.79,63,84,1.3,broken clouds
170,Ngama,TD,11.78,17.17,94.93,16,13,6.73,few clouds
171,Sal Rei,CV,16.18,-22.92,82.4,65,0,21.92,clear sky
172,Hammerfest,NO,70.66,23.68,33.8,80,75,23.04,shower rain
173,Cape Town,ZA,-33.93,18.42,69.01,45,40,5.82,scattered clouds
174,Mahebourg,MU,-20.41,57.7,78.8,69,40,12.75,scattered clouds
175,Geraldton,AU,-28.77,114.6,64.4,55,75,21.92,broken clouds
176,Norman Wells,CA,65.28,-126.83,19.4,85,75,4.7,broken clouds
177,Kupang,ID,-10.17,123.58,84.2,74,20,9.17,few clouds
178,Bambous Virieux,MU,-20.34,57.76,78.8,69,40,12.75,scattered clouds
179,Kosa,RU,59.94,55.0,30.24,97,95,6.91,overcast clouds
180,Pacific Grove,US,36.62,-121.92,42.8,70,1,5.82,clear sky
181,Dali,CN,25.7,100.18,54.7,72,21,3.36,few clouds
182,Esperance,AU,-33.87,121.9,62.6,88,42,10.29,scattered clouds
183,Tondano,ID,1.3,124.91,80.6,69,20,4.7,few clouds
184,Alexandria,EG,31.22,29.96,73.4,69,40,9.17,scattered clouds
185,San Bernardo,CL,-33.6,-70.72,64.99,71,0,2.44,clear sky
186,Broome,US,42.25,-75.83,48.2,66,1,3.36,clear sky
187,Nikolsk,RU,53.72,46.07,35.76,83,30,10.27,scattered clouds
188,Bosaso,SO,11.28,49.18,82.4,83,20,10.29,few clouds
189,Albany,US,42.6,-73.97,42.01,100,1,3.36,clear sky
190,Morondava,MG,-20.28,44.28,85.06,65,86,14.29,overcast clouds
191,Vryburg,ZA,-26.96,24.73,90.75,22,99,15.82,overcast clouds
